п/п,№,ФИО,ВУЗ/ филиал,ВУЗ/ филиал,Код направления,Группа ООП 2023-2024,Программа ЦК,Группа ЦК,
528,265,6537d36ac2f29c6ab8f7c40e,ВолгГТУ,ФАГР ИАиС,07.03.01 Архитектура,АРХ-1-20,ППСА,ППСА-1,
529,13,6538f8faa04fb531ff864fcc,ВолгГМУ,специалитет,31.05.01 Лечебное дело,301,ППЦП,ППЦП-11,
530,647,6537e3a3c2f29c6ab8f7c75b,ВолгГТУ,ФАТ,23.05.01 Наземные транспортно-технологические средства,АТС-311,ПиР_1С,ПИР-2,
531,749,6538eccda04fb531ff864a91,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-261,СИИ,СИИ-4,
532,287,65393170a04fb531ff865cf5,ВолгГТУ,ФЭУ,42.03.01 Реклама и связи с общественностью,ЭР-353,СУБД,СУБД-4,
533,1198,6537d36fc2f29c6ab8f7c411,ВолгГТУ,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-3-20,ППСА,ППСА-10,
534,369,6538f8ffa04fb531ff864fcf,ВолгГТУ,ФАСТиВ,"24.05.01 Проектирование, производство и эксплуатация ракет и ракетно- космических комплексов",РК-300,ППЦП,ППЦП-5,
535,924,65395850a04fb531ff8661b9,ВолгГТУ,ХТФ,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",РХТ-449,РВП,РВП-2,
536,1159,6538f904a04fb531ff864fd4,ВолгГТУ,ФТПП,15.03.02 Технологические машины и оборудование,МАП-250,ППЦП,ППЦП-8,
537,229,6537e3a8c2f29c6ab8f7c75c,ВолгГТУ,ХТФ,18.03.01 Химическая технология,ХТ-343,ПиР_1С,ПИР-5,
538,1199,6537d375c2f29c6ab8f7c414,ВолгГТУ,ФСиЖКХ ИАиС,15.03.02 Технологические машины и оборудование,МНС-1-21,ППСА,ППСА-11,
539,108,6538f909a04fb531ff864fd6,ВолгГМУ,лечебное дело,31.05.01 Лечебное дело,510,ППЦП,ППЦП-10,
540,474,6538ecd2a04fb531ff864a94,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-362,СИИ,СИИ-7,
541,477,6538ecd8a04fb531ff864a98,КТИ,КТИ,09.03.01 Информатика и вычислительная техника,КВТ-201,СИИ,СИИ-9,
542,1135,6537d37ac2f29c6ab8f7c417,ИАиС,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-1-22,ППСА,ППСА-2,
544,28,6538ecdda04fb531ff864a9c,ВолГАУ,Эколого-мелиоративный ,09.03.03 Прикладная информатика,ЭМФомПИ221,СИИ,СИИ-8,
545,1095,6538f912a04fb531ff864fda,ВПИ,ФАМ ВПИ,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",ВТМ-221,ППЦП,ППЦП-1,
546,6,6538ece2a04fb531ff864aa1,ВолгГТУ,ФЭВТ,09.03.04 Программная инженерия,ПрИн-266,СИИ,СИИ-2,
547,405,65395856a04fb531ff8661bb,ВолгГТУ,ХТФ,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",РХТ-248,РВП,РВП-1,
548,1123,6537d380c2f29c6ab8f7c41a,ИАиС,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-1-22,ППСА,ППСА-8,
549,25,6537e3aec2f29c6ab8f7c75e,ВолГАУ,инженерно-технологический,Магистратура,ИТФомАИ221,ПиР_1С,ПИР-6,
550,955,6537d386c2f29c6ab8f7c41c,ВолгГТУ,ФТИСиТБ ИАиС,20.03.01 Техносферная безопастность,ТБ-2-21,ППСА,ППСА-6,
551,17,6538ece8a04fb531ff864aa5,ВолгГТУ,ФЭВТ,09.03.04 Программная инженерия,ПрИн-267,СИИ,СИИ-14,
552,1200,6537d38bc2f29c6ab8f7c41d,ВолгГТУ,ФСиЖКХ ИАиС,15.03.02 Технологические машины и оборудование,МНС-1-22,ППСА,ППСА-11,
553,163,6538f918a04fb531ff864fdd,ВПИ,ФАМ ВПИ,15.03.04 Автоматизация технологических процессов и производств,ВАУ-226,ППЦП,ППЦП-1,
554,107,6539585ba04fb531ff8661bc,ВолгГТУ,ХТФ,18.03.01 Химическая технология,ХТ-342,РВП,РВП-2,
555,956,6537d390c2f29c6ab8f7c41f,ВолгГТУ,ФТИСиТБ ИАиС,20.05.01 Пожарная безопасность,Пб-1-20,ППСА,ППСА-7,
556,712,6538eceda04fb531ff864aa9,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-461,СИИ,СИИ-6,
557,667,6538f91da04fb531ff864fdf,ВолгГТУ,ФТКМ,22.03.02 Металлургия,М-334,ППЦП,ППЦП-6,
558,1085,653a2e2531e2da38f4e2542c,ВолгГТУ,ФТПП,15.03.02 Технологические машины и оборудование,МАП-450,СУБД,СУБД-5,
559,171,6538f922a04fb531ff864fe3,ВПИ,ФАМ ВПИ,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",ВТМ-321,ППЦП,ППЦП-1,
560,496,6538ecf2a04fb531ff864aad,КТИ,КТИ,09.03.01 Информатика и вычислительная техника,КВТ-221,СИИ,СИИ-9,
561,665,6537e3b3c2f29c6ab8f7c760,ВолгГТУ,ФТКМ,15.03.01 Машиностроение,МС-329,ПиР_1С,ПИР-4,
562,365,6538ecf7a04fb531ff864ab1,ВПИ,ФЭИ ВПИ,09.03.01 Информатика и вычислительная техника,ВВТ-406,СИИ,СИИ-3,
563,166,6538f927a04fb531ff864fe6,ВПИ,ФАМ ВПИ,22.03.02 Металлургия,ВМД-228,ППЦП,ППЦП-2,
564,741,65395860a04fb531ff8661bd,ВолгГТУ,ХТФ,18.04.01 Химическая технология,ТНГМ-2.3п,РВП,РВП-2,
565,411,6537e3b9c2f29c6ab8f7c763,ВолгГТУ,ФЭУ,38.03.01 Экономика,ЭФК-359,ПиР_1С,ПИР-11,
566,55,6537e3bec2f29c6ab8f7c765,ВолгГМУ,лечебный факультет,31.05.01 Лечебное дело,"5й курс, ",ПиР_1С,ПИР-11,
567,33,6537e3c3c2f29c6ab8f7c766,ВолгГМУ,лечебный факультет,31.05.01 Лечебное дело,410,ПиР_1С,ПИР-10,
568,7,65395865a04fb531ff8661bf,ВГСПУ,,44.04.03 Социальная и коррекционная педагогика,СКП-СПСМ-11,РВП,РВП-9,
569,811,6538ecfca04fb531ff864ab5,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-2-22,СИИ,СИИ-13,
570,618,6537d396c2f29c6ab8f7c423,ИАиС,ФАГР ИАиС,07.03.01 Архитектура,АРХ-3-21,ППСА,ППСА-1,
571,740,6538ed00a04fb531ff864ab9,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-461,СИИ,СИИ-6,
572,26,6538ed05a04fb531ff864abd,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-261,СИИ,СИИ-1,
573,1155,6537d39cc2f29c6ab8f7c425,ВолгГТУ,ФТИСиТБ ИАиС,20.04.01 Техносферная безопасность,ТБм-2-23,ППСА,ППСА-6,
574,20,65393179a04fb531ff865cf8,ВА МВД,подготовки экспертов-криминалистов и оперативных сотрудников полиции (ФПЭК и ОСП),40.05.03 Судебная экспертиза,323,СУБД,СУБД-1,
575,266,6537d3a1c2f29c6ab8f7c429,ВолгГТУ,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-3-20,ППСА,ППСА-5,
576,735,653d2130eb88958547ae104b,ВолгГТУ,ФАСТИВ ,15.04.05 Конструкторско-технологическое обеспечение машиностроительных производств,КТО-2н,ППЦП,ППЦП-4,
577,1201,6537d3a6c2f29c6ab8f7c42b,ВолгГТУ,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-4-20,ППСА,ППСА-10,
578,87,6538f930a04fb531ff864fea,ВолгГТУ,ХТФ,18.04.01 Химическая технология,ХМНП-1п,ППЦП,ППЦП-6,
579,20,6538ed09a04fb531ff864ac0,ВолгГТУ,ФЭВТ,09.03.04 Программная инженерия,ПрИн-367,СИИ,СИИ-5,
580,240,6537e3c8c2f29c6ab8f7c768,ВолгГТУ,ФТКМ,22.03.02 Металлургия,М-433,ПиР_1С,ПИР-5,
581,1149,6537d3acc2f29c6ab8f7c430,ВолгГТУ,ФТИСиТБ ИАиС,08.03.01 Строительство,АД-1-20,ППСА,ППСА-9,
582,1050,6538f935a04fb531ff864fed,ВПИ,ФЭИ ВПИ,38.04.01 Экономика,ВЭМ-1,ППЦП,ППЦП-1,
583,1021,6537e3cdc2f29c6ab8f7c76b,ВолгГТУ,ФЭВТ,12.04.01 Приборостроение,ЭТ-1,ПиР_1С,ПИР-8,
584,1164,6537d3b1c2f29c6ab8f7c433,ВолгГТУ,ФТИСиТБ ИАиС,08.03.01 Строительство,АД-1-20,ППСА,ППСА-11,
585,15,6538f939a04fb531ff864ff0,ВолгГМУ, лечебный факультет,31.05.01 Лечебное дело,18,ППЦП,ППЦП-11,
586,568,6539317ea04fb531ff865cf9,ВолгГТУ,ФЭУ,38.03.02 Менеджмент,ЭМФ-355,СУБД,СУБД-4,
587,46,6538ed0ea04fb531ff864ac4,КТИ,КТИ,09.03.01 Информатика и вычислительная техника,КВТ-221,СИИ,СИИ-9,
588,407,6537e3d3c2f29c6ab8f7c76e,ВолгГТУ,ФЭУ,38.03.02 Менеджмент,ЭММ-354,ПиР_1С,ПИР-4,
590,1,6539586ea04fb531ff8661c2,ВолГАУ,ЭКФ,,ЭКФозбЭ213,РВП,РВП-4,
591,556,6537e3d8c2f29c6ab8f7c770,ВолгГТУ,ФЭУ,38.03.02 Менеджмент,ЭМФ-355,ПиР_1С,ПИР-2,
592,524,6538ed13a04fb531ff864ac9,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-2-22,СИИ,СИИ-13,
593,469,6537e3ddc2f29c6ab8f7c774,ВолгГТУ,ФЭУ,38.03.01 Экономика,Э-257,ПиР_1С,ПИР-8,
594,208,6541f9059c1990ec63a54d1a,ВолгГТУ,ФЭУ,38.03.05 Бизнес-информатика,БИ-263,РИС_1С,РИС-2,
595,994,65395877a04fb531ff8661c5,ВолгГТУ,ФЭВТ,12.03.01 Приборостроение,ИИТ-273,РВП,РВП-3,
596,809,6538ed17a04fb531ff864acd,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-2-22,СИИ,СИИ-13,
597,1202,6537d3b8c2f29c6ab8f7c435,ВолгГТУ,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-1-20,ППСА,ППСА-10,
598,397,6539587ca04fb531ff8661c6,ВолгГТУ,ХТФ,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",РХТ-248,РВП,РВП-1,
599,914,653bc567e189abe05fdf8016,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-260,РИС_1С,РИС-1,
600,745,6537e3e2c2f29c6ab8f7c776,ВолгГТУ,ФТКМ,15.03.01 Машиностроение,МС-228,ПИР_1С,ПИР-3,
601,510,65395881a04fb531ff8661c7,КТИ,КТИ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,КТМ-201,РВП,РВП-8,
602,429,6538f93ea04fb531ff864ff2,ВолгГТУ,ФТКМ,15.04.01 машиностроение,СП-1п,ППЦП,ППЦП-8,
603,1111,6537d3bdc2f29c6ab8f7c438,ИАиС,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-1-20,ППСА,ППСА-9,
604,64,6538f943a04fb531ff864ff4,ВолгГТУ,ФТКМ,22.03.01 Материаловедение и технологии материалов,МВ-131,ППЦП,ППЦП-3,
605,454,6537e3e7c2f29c6ab8f7c778,ВолгГТУ,ФТКМ,22.03.01 Материаловедение и технологии материалов,МВ-331,ПиР_1С,ПИР-4,
606,227,6537e3ecc2f29c6ab8f7c77a,ВолгГТУ,ХТФ,18.03.01 Химическая технология,ХТ-343,ПиР_1С,ПИР-5,
607,879,6541f90f9c1990ec63a54d20,ВолгГТУ,ФАСТиВ,27.03.04 Управление в технических системах,УТС-220,РИС_1С,РИС-4,
608,540,65338e1022f275d6766f31be,ВолгГТУ,ФЭУ,38.03.05 Бизнес-информатика,БИ-463,РИС_1С,РИС-1,
609,957,6537d3c3c2f29c6ab8f7c43c,ВолгГТУ,ФТИСиТБ ИАиС,20.05.01 Пожарная безопасность,Пб-1-20,ППСА,ППСА-7,
610,231,6537e3f1c2f29c6ab8f7c77c,ВолгГТУ,ХТФ,18.04.01 Химическая технология,ХТПЭК-1,ПиР_1С,ПИР-3,
611,1010,6537d3c8c2f29c6ab8f7c43f,ВолгГТУ,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-2-22,ППСА,ППСА-5,
612,486,6538ed1da04fb531ff864ad1,КТИ,КТИ,09.03.01 Информатика и вычислительная техника,КВТ-211,СИИ,СИИ-9,
613,90,6538f948a04fb531ff864ff7,ВолгГТУ,ХТФ,18.04.01 Химическая технология,ХМНП-1п,ППЦП,ППЦП-6,
614,1012,6537d3cdc2f29c6ab8f7c441,ВолгГТУ,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-2-22,ППСА,ППСА-5,
615,18,65393183a04fb531ff865cfa,ВА МВД,подготовки экспертов-криминалистов и оперативных сотрудников полиции (ФПЭК и ОСП),40.05.03 Судебная экспертиза,424,СУБД,СУБД-1,
616,95,6538f94da04fb531ff864ff9,ВолгГТУ,ХТФ,18.03.01 Химическая технология,ХТ-342,ППЦП,ППЦП-8,
617,613,6538ed22a04fb531ff864ad5,ВПИ,ФЭИ ВПИ,09.03.01 Информатика и вычислительная техника,ВВТ-206,СИИ,СИИ-3,
618,908,6537e3f6c2f29c6ab8f7c77e,ВолгГТУ,ФАСТиВ,15.03.04 Автоматизация технологических процессов и производств,АТП-321,ПиР_1С,ПИР-9,
619,71,6538f952a04fb531ff864ffb,ВолгГТУ,ФАСТиВ,23.05.01 Наземные транспортно-технологические средства,НТС-502,ППЦП,ППЦП-4,
620,1063,6537e3fbc2f29c6ab8f7c780,ВолгГТУ,ФЭВТ,03.03.02 Физика,Ф-269,ПиР_1С,ПИР-5,
621,457,6537e400c2f29c6ab8f7c783,ВолгГТУ,ФТКМ,22.03.01 Материаловедение и технологии материалов,МВ-231,ПиР_1С,ПИР-3,
622,958,654212509c1990ec63a551c9,ВолгГТУ,ФТИСиТБ ИАиС,08.03.01 Строительство,ТГВ-1-21,ППСА,ППСА-6,
623,7,6538f957a04fb531ff864fff,ВолгГМУ,леченый,31.05.01 Лечебное дело,26,ППЦП,ППЦП-11,
624,687,6538f95ca04fb531ff865001,ВолгГТУ,ФАСТиВ,15.03.04 Автоматизация технологических процессов и производств,АТП-221,ППЦП,ППЦП-4,
625,546,6538ed27a04fb531ff864ad9,ВолгГТУ,ФЭУ,38.03.05 Бизнес-информатика,БИ-263,СИИ,СИИ-4,
626,211,6541f9199c1990ec63a54d26,ВолгГТУ,ФЭВТ,09.03.04 Программная инженерия ,ПрИн-268,РИС_1С,РИС-1,
627,18,6538ed2ca04fb531ff864add,ВолгГТУ,ФЭВТ,09.03.04 Программная инженерия,ПрИн-366,СИИ,СИИ-5,
628,1097,65393188a04fb531ff865cfb,ВолгГТУ,ФАТ,23.03.01 Технология транспортных процессов,АТ-216,СУБД,СУБД-4,
629,765,6538f961a04fb531ff865004,ВолгГТУ,ФАСТиВ,"24.05.01 Проектирование, производство и эксплуатация ракет и ракетно- космических комплексов",РК-300,ППЦП,ППЦП-5,
630,270,6538f966a04fb531ff865006,ВолгГТУ,ФТКМ,22.03.01 Материаловедение и технологии материалов,МВ-231,ППЦП,ППЦП-3,
631,849,6538ed31a04fb531ff864ae1,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-20,СИИ,СИИ-12,
632,1203,6537e405c2f29c6ab8f7c786,ИАиС,ФСиЖКХ ИАиС,08.03.01 Строительство,МНС-1-22,ПиР_1С,ПИР-7,
633,672,6538f96aa04fb531ff865008,ВолгГТУ,ФТКМ,22.03.01 Материаловедение и технологии материалов,МВ-331,ППЦП,ППЦП-6,
